"PIN","sex","age","condition","shock","tipi1","tipi2","tipi3","tipi4","tipi5","tipi6","tipi7","tipi8","tipi9","tipi10","preShare","postShare","guilt"
336,"female",22,"partner_bad","low",4,4,2,5,2,4,4,6,3,5,5,0,2
337,"female",21,"partner_bad","low",3,2,3,2,3,4,6,4,4,7,5,2,3
338,"female",20,"partner_bad","low",2,3,4,5,3,6,2,6,5,2,5,0,2
339,"female",21,"partner_bad","low",3,5,3,5,4,3,3,2,4,4,4,1,2
340,"female",21,"partner_bad","low",6,3,3,5,5,3,5,3,4,3,3,0,2
341,"female",18,"partner_bad","low",3,4,5,3,3,3,4,4,3,4,3,0,2
342,"female",20,"partner_bad","low",5,3,4,2,4,1,5,4,5,2,3,0,4
343,"female",20,"partner_bad","low",6,3,3,5,3,3,3,4,5,3,4,0,2
344,"female",19,"partner_bad","low",5,3,5,5,5,3,1,2,3,1,4,0,1
345,"female",18,"partner_bad","low",4,6,5,3,4,3,4,4,6,6,5,2,3
346,"female",20,"partner_bad","low",4,5,4,4,4,3,5,3,4,3,3,0,3
347,"female",20,"partner_bad","low",1,4,4,3,4,4,5,4,5,5,5,1,2
348,"female",21,"partner_bad","low",4,2,3,3,2,3,6,4,3,6,5,3,3
349,"female",20,"partner_bad","low",6,4,5,7,4,4,4,2,4,6,3,0,2
350,"female",20,"partner_bad","low",4,2,2,4,5,4,4,5,4,5,4,0,1
351,"female",20,"partner_bad","low",5,6,4,4,4,5,6,3,4,4,3,0,2
352,"female",20,"partner_bad","low",4,3,6,4,3,3,4,5,3,5,4,0,2
353,"female",19,"partner_bad","low",6,6,7,6,4,5,2,2,4,6,3,0,1
354,"female",20,"partner_bad","low",3,4,3,5,2,5,3,4,4,4,5,1,2
355,"female",18,"partner_bad","low",3,5,4,5,4,4,4,4,4,5,5,1,2
356,"female",19,"partner_bad","low",5,5,2,4,3,4,3,7,5,4,5,2,3
357,"female",21,"partner_bad","low",2,1,7,3,5,4,4,1,3,4,3,0,2
358,"female",20,"partner_bad","low",5,5,6,3,5,1,4,2,6,2,4,0,2
359,"female",20,"partner_bad","low",2,3,3,3,5,3,4,6,3,3,4,0,2
360,"female",18,"partner_bad","low",3,3,4,3,4,4,3,3,7,5,3,0,2
361,"male",19,"self_good","high",2,5,4,3,4,4,4,4,4,3,3,7,6
362,"male",20,"self_good","high",1,3,1,5,3,6,4,7,4,1,5,9,5
363,"male",20,"self_good","high",5,4,5,5,4,3,5,2,4,3,2,6,7
364,"male",20,"self_good","high",3,1,5,4,6,4,4,4,4,2,5,9,5
365,"male",20,"self_good","high",3,6,3,4,3,3,5,5,6,4,3,7,6
366,"male",19,"self_good","high",4,3,5,4,4,3,5,4,5,3,4,8,5
367,"male",20,"self_good","high",3,3,4,4,4,4,6,4,5,2,4,9,7
368,"male",19,"self_good","high",2,4,6,4,3,4,2,3,3,4,5,8,6
369,"male",19,"self_good","high",5,5,6,5,6,3,3,3,5,1,4,8,6
370,"male",20,"self_good","high",4,4,5,4,5,3,3,1,3,2,4,8,5
371,"male",21,"self_good","high",3,4,2,5,5,5,5,7,5,3,4,8,6
372,"male",21,"self_good","high",3,2,6,7,3,3,3,5,3,4,4,8,6
373,"male",20,"self_good","high",4,4,6,2,3,2,3,3,5,4,6,10,5
374,"male",21,"self_good","high",5,3,3,6,6,4,4,4,2,2,5,8,5
375,"male",20,"self_good","high",2,3,5,4,5,5,3,4,4,3,3,7,6
376,"male",18,"self_good","high",3,4,4,3,5,4,6,3,5,3,3,8,6
377,"male",19,"self_good","high",4,3,4,3,2,4,6,2,4,5,3,7,5
378,"male",20,"self_good","high",2,4,7,5,6,3,6,1,5,4,4,10,6
379,"male",21,"self_good","high",4,6,5,4,4,5,4,2,5,4,4,8,5
380,"male",21,"self_good","high",3,5,4,2,3,5,4,2,5,7,4,9,7
381,"male",18,"self_good","high",2,3,5,3,5,6,7,4,5,4,3,8,6
382,"male",21,"self_good","high",3,5,3,3,6,5,3,3,3,2,3,7,6
383,"male",20,"self_good","high",4,4,1,5,3,7,2,7,4,4,2,6,7
384,"male",20,"self_good","high",5,5,4,4,4,4,5,2,4,6,3,6,6
385,"male",20,"self_good","high",5,3,4,5,5,4,5,3,4,3,3,7,6
386,"male",21,"self_good","high",6,4,4,4,4,3,3,2,6,3,4,7,7
387,"male",21,"self_good","high",3,5,6,6,4,5,1,2,2,5,4,7,6
388,"male",21,"self_good","high",5,5,4,4,4,2,3,3,5,5,5,9,6
389,"male",19,"self_good","high",4,2,3,2,5,3,3,3,4,3,2,6,6
390,"male",21,"self_good","high",4,5,4,4,5,4,4,4,5,2,4,9,6
391,"male",19,"self_good","medium",4,6,5,3,3,6,3,3,6,3,5,8,5
392,"male",22,"self_good","medium",3,7,5,3,6,3,3,3,5,4,5,8,5
393,"male",20,"self_good","medium",5,4,3,2,3,3,1,4,5,4,5,7,5
394,"male",21,"self_good","medium",4,5,3,3,4,3,4,1,3,6,4,6,4
395,"male",20,"self_good","medium",6,5,5,1,2,3,6,2,6,4,3,6,5
396,"male",22,"self_good","medium",4,4,7,5,5,4,2,4,3,2,3,6,5
397,"male",20,"self_good","medium",1,6,5,4,5,5,2,3,5,3,4,6,5
398,"male",19,"self_good","medium",1,4,3,3,4,5,3,2,6,2,3,6,6
399,"male",21,"self_good","medium",4,5,6,5,4,5,4,5,4,6,7,10,5
400,"male",20,"self_good","medium",4,3,4,2,3,5,3,4,6,5,5,8,6
401,"male",19,"self_good","medium",4,4,4,1,6,2,2,4,5,3,3,5,5
402,"male",21,"self_good","medium",2,3,3,4,5,4,3,5,6,3,4,7,5
403,"male",19,"self_good","medium",2,4,5,2,3,5,3,4,5,5,5,8,6
404,"male",20,"self_good","medium",4,2,3,3,5,4,6,4,5,1,2,5,6
405,"male",20,"self_good","medium",5,3,7,4,6,1,5,4,3,1,2,5,6
406,"male",21,"self_good","medium",5,1,4,6,3,5,5,5,4,7,5,9,6
407,"male",20,"self_good","medium",2,4,7,2,5,4,2,1,3,3,4,7,5
408,"male",18,"self_good","medium",3,5,3,4,4,4,2,4,3,5,4,7,4
409,"male",19,"self_good","medium",3,3,4,4,4,5,5,4,3,4,4,8,6
410,"male",22,"self_good","medium",1,2,4,2,4,4,4,4,5,5,3,5,6
411,"male",18,"self_good","medium",3,3,5,5,5,4,5,3,3,2,4,8,5
412,"male",22,"self_good","medium",2,2,4,3,5,5,6,1,5,2,4,7,6
413,"male",20,"self_good","medium",4,4,4,2,3,4,3,6,5,4,2,4,5
414,"male",19,"self_good","medium",2,6,3,5,5,4,2,4,4,3,4,7,4
415,"male",21,"self_good","medium",2,6,4,3,3,3,2,5,5,4,4,7,5
416,"male",20,"self_good","medium",6,5,6,3,4,3,3,2,3,3,4,7,5
417,"male",21,"self_good","medium",7,5,4,1,4,1,6,5,7,4,4,7,5
418,"male",19,"self_good","medium",4,3,6,6,4,5,4,3,3,4,6,10,5
419,"male",20,"self_good","medium",5,6,5,6,6,2,3,4,3,3,4,6,5
420,"male",21,"self_good","medium",5,6,3,3,6,3,3,4,6,2,5,8,5
421,"male",19,"self_good","low",4,5,3,3,4,4,2,4,2,3,4,6,4
422,"male",20,"self_good","low",5,2,6,4,4,4,6,1,4,7,4,7,6
423,"male",19,"self_good","low",1,5,5,4,2,5,4,3,4,7,4,6,4
424,"male",20,"self_good","low",1,5,6,3,4,5,3,1,4,2,4,6,5
425,"male",20,"self_good","low",4,4,3,5,5,3,5,5,4,3,5,8,5
426,"male",19,"self_good","low",4,3,3,5,5,4,6,4,6,1,4,6,5
427,"male",19,"self_good","low",4,3,4,5,5,4,4,4,3,4,4,6,4
428,"male",20,"self_good","low",1,2,5,2,4,5,5,4,6,3,4,6,6
429,"male",21,"self_good","low",3,6,5,4,4,2,1,4,5,4,3,4,5
430,"male",22,"self_good","low",2,2,4,3,4,5,5,3,4,3,5,7,5
431,"male",20,"self_good","low",2,4,5,1,3,4,2,3,5,5,2,5,5
432,"male",21,"self_good","low",5,3,4,4,4,4,4,4,6,3,2,4,5
433,"male",19,"self_good","low",5,3,4,3,5,2,2,5,5,1,4,5,4
434,"male",22,"self_good","low",5,7,5,4,3,2,3,4,5,5,3,4,5
435,"male",19,"self_good","low",3,5,6,4,3,5,4,1,4,4,3,6,6
436,"male",20,"self_good","low",3,2,4,4,3,4,5,2,6,4,2,5,6
437,"male",19,"self_good","low",2,4,4,4,4,5,3,4,4,6,6,8,4
438,"male",20,"self_good","low",3,3,4,4,4,4,4,5,3,5,4,6,5
439,"male",20,"self_good","low",6,4,6,6,5,4,4,2,2,2,4,6,5
440,"male",20,"self_good","low",4,5,4,3,5,2,4,4,5,3,5,6,4
441,"male",20,"self_good","low",2,4,5,6,4,5,3,2,2,5,3,5,3
442,"male",19,"self_good","low",5,4,5,3,3,5,5,3,6,3,5,7,5
443,"male",19,"self_good","low",2,5,4,2,6,4,2,5,6,1,6,8,5
444,"male",20,"self_good","low",4,3,5,5,3,4,6,3,4,4,4,7,5
445,"male",20,"self_good","low",4,5,5,4,4,4,4,4,4,3,4,6,4
446,"male",21,"self_good","low",5,6,2,5,4,2,5,7,4,2,4,6,4
447,"male",20,"self_good","low",4,5,2,4,7,3,3,4,3,1,4,5,3
448,"male",19,"self_good","low",4,2,6,2,3,4,4,3,4,5,5,7,5
449,"male",20,"self_good","low",2,6,4,4,3,4,1,4,6,4,4,5,5
450,"male",22,"self_good","low",2,4,5,4,6,6,2,4,5,5,4,5,4
451,"male",20,"self_bad","high",6,5,3,4,3,1,4,5,6,3,3,5,3
452,"male",20,"self_bad","high",1,3,7,3,4,5,5,3,5,4,4,6,4
453,"male",19,"self_bad","high",1,5,1,6,5,6,5,4,3,2,4,5,5
454,"male",20,"self_bad","high",3,4,6,3,3,4,3,2,4,3,3,4,4
455,"male",20,"self_bad","high",4,1,4,3,4,5,5,4,5,4,4,6,6
456,"male",20,"self_bad","high",3,5,5,4,5,5,4,2,2,1,4,6,5
457,"male",20,"self_bad","high",5,3,4,4,4,5,7,5,3,5,3,5,5
458,"male",20,"self_bad","high",3,4,5,5,1,4,4,7,3,6,4,5,4
459,"male",20,"self_bad","high",3,3,3,3,3,5,3,5,4,4,3,3,4
460,"male",21,"self_bad","high",4,4,4,2,3,4,3,4,5,5,5,6,4
461,"male",21,"self_bad","high",4,6,5,3,2,3,1,3,5,4,5,6,5
462,"male",20,"self_bad","high",4,5,6,3,4,2,1,2,5,2,4,4,4
463,"male",19,"self_bad","high",4,5,4,2,4,3,2,3,6,4,5,5,4
464,"male",19,"self_bad","high",4,5,5,5,5,4,2,5,4,3,4,5,3
465,"male",20,"self_bad","high",5,5,4,3,3,3,4,4,4,3,2,4,6
466,"male",19,"self_bad","high",5,3,4,3,4,3,6,3,6,4,4,5,4
467,"male",21,"self_bad","high",4,3,4,5,4,2,3,3,4,4,4,6,4
468,"male",20,"self_bad","high",4,4,4,3,4,3,4,4,5,3,1,2,5
469,"male",22,"self_bad","high",4,5,2,4,5,4,3,5,4,2,5,6,4
470,"male",19,"self_bad","high",3,2,4,3,5,4,5,6,6,4,5,7,3
471,"male",21,"self_bad","high",3,3,3,4,4,5,5,3,3,3,5,6,4
472,"male",20,"self_bad","high",3,1,5,4,4,3,5,3,5,3,5,6,4
473,"male",19,"self_bad","high",4,4,6,4,4,4,4,4,5,5,4,4,3
474,"male",18,"self_bad","high",4,3,4,4,5,5,4,5,5,1,5,7,5
475,"male",20,"self_bad","high",3,5,5,7,5,5,4,3,3,3,4,5,4
476,"male",19,"self_bad","high",5,2,4,3,1,1,3,5,5,6,3,4,5
477,"male",19,"self_bad","high",3,7,4,3,6,2,2,3,4,2,5,6,3
478,"male",20,"self_bad","high",4,5,4,3,5,3,4,5,5,3,3,4,4
479,"male",20,"self_bad","high",5,3,6,5,4,2,4,2,5,4,4,5,3
480,"male",21,"self_bad","high",2,5,4,4,5,6,2,4,4,2,4,5,3
481,"male",20,"self_bad","medium",5,4,4,3,4,4,3,4,6,5,4,4,3
482,"male",19,"self_bad","medium",2,2,5,3,4,4,4,4,5,3,4,3,4
483,"male",20,"self_bad","medium",5,4,3,2,4,3,2,4,4,5,4,4,4
484,"male",19,"self_bad","medium",1,4,2,5,4,4,2,4,3,4,4,4,4
485,"male",20,"self_bad","medium",5,4,3,6,5,3,4,2,3,2,4,5,4
486,"male",21,"self_bad","medium",6,4,5,3,4,3,3,3,3,5,5,5,4
487,"male",21,"self_bad","medium",2,4,6,3,4,5,6,3,5,3,5,5,3
488,"male",19,"self_bad","medium",4,2,2,5,1,2,4,5,3,7,4,3,4
489,"male",19,"self_bad","medium",5,5,5,3,3,3,3,4,4,6,5,4,3
490,"male",20,"self_bad","medium",1,4,5,2,4,5,3,5,6,2,4,4,3
491,"male",21,"self_bad","medium",4,3,7,3,2,2,4,3,5,2,4,3,4
492,"male",19,"self_bad","medium",3,3,4,6,5,3,1,3,4,4,4,5,3
493,"male",21,"self_bad","medium",2,5,6,3,4,5,3,4,5,4,4,4,4
494,"male",19,"self_bad","medium",2,5,4,6,4,5,5,3,2,4,5,5,4
495,"male",22,"self_bad","medium",2,4,7,2,2,2,5,1,4,4,4,3,4
496,"male",20,"self_bad","medium",7,6,5,4,4,3,2,5,3,3,4,3,4
497,"male",19,"self_bad","medium",3,4,6,3,3,4,5,2,4,4,4,5,4
498,"male",21,"self_bad","medium",4,2,3,4,6,4,4,5,5,2,4,4,4
499,"male",19,"self_bad","medium",3,6,4,5,5,5,2,5,4,4,6,5,4
500,"male",20,"self_bad","medium",3,5,3,4,4,4,2,5,4,3,5,5,2
501,"male",20,"self_bad","medium",6,3,5,6,4,2,4,3,3,3,3,4,3
502,"male",21,"self_bad","medium",4,6,4,2,5,4,4,3,5,5,4,4,3
503,"male",22,"self_bad","medium",3,5,5,3,3,5,3,2,4,6,5,5,4
504,"male",20,"self_bad","medium",5,6,4,4,5,4,4,4,4,4,7,7,3
505,"male",22,"self_bad","medium",2,3,3,4,6,5,5,6,4,2,5,5,5
506,"male",19,"self_bad","medium",4,3,7,4,4,3,5,1,3,2,5,5,4
507,"male",20,"self_bad","medium",2,5,4,3,5,2,5,6,5,4,2,2,4
508,"male",21,"self_bad","medium",6,3,7,3,3,4,3,2,6,6,4,4,3
509,"male",20,"self_bad","medium",5,3,4,2,3,4,4,3,5,2,6,6,4
510,"male",18,"self_bad","medium",5,2,4,3,4,4,6,5,7,6,5,5,3
511,"male",20,"self_bad","low",3,1,7,2,5,4,5,1,4,2,5,5,3
512,"male",21,"self_bad","low",3,3,6,3,4,5,4,3,6,5,4,3,3
513,"male",20,"self_bad","low",3,4,4,4,4,4,3,4,4,5,4,3,-99
514,"male",21,"self_bad","low",3,5,3,5,4,4,4,3,5,5,3,3,2
515,"male",20,"self_bad","low",4,2,3,2,3,4,5,5,4,7,5,4,4
516,"male",19,"self_bad","low",2,5,5,7,3,5,4,1,1,5,5,4,2
517,"male",20,"self_bad","low",5,2,6,4,5,3,6,3,5,4,4,3,3
518,"male",18,"self_bad","low",4,5,5,5,5,5,5,4,3,1,2,2,-99
519,"male",21,"self_bad","low",3,3,5,4,3,3,4,3,3,7,2,0,-99
520,"male",22,"self_bad","low",3,5,6,5,2,4,4,3,4,3,4,2,2
521,"male",21,"self_bad","low",4,5,5,3,4,3,5,4,4,5,3,2,3
522,"male",20,"self_bad","low",3,3,6,5,3,4,4,1,4,5,3,3,3
523,"male",22,"self_bad","low",6,3,7,6,4,2,5,2,5,4,4,4,4
524,"male",18,"self_bad","low",5,3,5,4,4,1,4,4,4,3,4,3,4
525,"male",21,"self_bad","low",2,6,3,5,5,5,4,5,2,3,4,2,4
526,"male",21,"self_bad","low",3,5,4,3,3,4,4,4,5,6,5,3,3
527,"male",19,"self_bad","low",6,2,3,1,3,5,7,6,6,1,3,3,3
528,"male",21,"self_bad","low",2,3,4,3,1,4,4,3,4,7,5,4,3
529,"male",20,"self_bad","low",1,3,4,5,3,4,3,3,3,3,3,1,3
530,"male",19,"self_bad","low",3,5,4,3,3,5,3,4,5,5,4,3,3
531,"male",20,"self_bad","low",4,4,4,3,5,4,5,3,6,3,5,4,3
532,"male",20,"self_bad","low",3,1,4,5,4,3,5,4,5,2,3,3,3
533,"male",19,"self_bad","low",2,1,5,5,4,4,6,2,5,6,4,4,3
534,"male",19,"self_bad","low",3,5,5,4,4,4,3,2,3,6,5,3,3
535,"male",22,"self_bad","low",2,7,3,2,5,5,3,6,6,3,6,6,2
536,"male",18,"self_bad","low",6,5,4,5,3,1,4,7,4,5,4,3,3
537,"male",20,"self_bad","low",3,6,4,5,3,6,3,2,4,6,2,1,3
538,"male",19,"self_bad","low",5,7,2,4,4,3,1,5,4,4,5,2,2
539,"male",19,"self_bad","low",5,4,5,3,1,2,3,1,5,4,5,3,3
540,"male",18,"self_bad","low",3,5,3,2,6,3,2,6,4,4,5,5,3
541,"male",20,"partner_good","high",2,6,3,3,3,4,2,6,4,5,5,6,4
542,"male",21,"partner_good","high",4,5,3,5,4,5,3,5,3,5,4,5,4
543,"male",20,"partner_good","high",4,4,5,3,5,5,3,3,5,2,5,6,3
544,"male",22,"partner_good","high",6,3,5,3,5,3,5,3,4,3,3,5,5
545,"male",20,"partner_good","high",4,4,7,3,4,4,5,2,5,2,3,6,6
546,"male",19,"partner_good","high",3,2,5,5,4,5,5,4,4,5,3,5,5
547,"male",20,"partner_good","high",4,2,3,3,3,2,3,4,5,6,4,6,5
548,"male",21,"partner_good","high",4,7,3,2,5,4,2,4,6,5,6,6,4
549,"male",21,"partner_good","high",4,2,6,3,4,1,5,1,5,5,4,7,4
550,"male",20,"partner_good","high",5,4,3,4,4,3,1,4,2,5,5,7,6
551,"male",20,"partner_good","high",6,3,5,5,3,3,4,4,4,6,3,5,5
552,"male",21,"partner_good","high",1,5,5,1,4,5,4,2,5,5,1,3,5
553,"male",22,"partner_good","high",3,6,5,4,3,4,1,3,3,3,4,4,4
554,"male",19,"partner_good","high",5,5,5,6,5,2,3,2,3,1,3,4,6
555,"male",20,"partner_good","high",3,6,5,4,4,3,4,3,4,3,5,6,5
556,"male",19,"partner_good","high",6,5,4,3,5,3,3,4,3,3,4,5,5
557,"male",18,"partner_good","high",4,3,4,6,3,5,4,2,3,5,5,7,5
558,"male",21,"partner_good","high",1,4,3,5,3,2,3,5,5,6,5,7,5
559,"male",21,"partner_good","high",2,6,4,2,5,4,5,5,4,6,3,4,6
560,"male",21,"partner_good","high",3,3,4,3,5,3,3,5,5,1,4,5,5
561,"male",20,"partner_good","high",2,6,3,3,3,4,6,3,5,2,3,5,5
562,"male",19,"partner_good","high",4,5,5,3,3,4,4,2,5,4,2,4,6
563,"male",19,"partner_good","high",3,1,4,3,4,4,5,3,3,3,4,7,6
564,"male",20,"partner_good","high",3,4,5,3,4,5,1,7,4,4,4,6,5
565,"male",19,"partner_good","high",4,2,4,3,4,3,3,2,5,3,3,6,5
566,"male",19,"partner_good","high",5,3,4,7,6,3,5,4,3,2,4,6,4
567,"male",19,"partner_good","high",2,5,5,6,3,4,3,3,4,5,6,8,6
568,"male",20,"partner_good","high",3,2,5,4,5,3,3,3,5,3,2,5,7
569,"male",19,"partner_good","high",6,5,6,5,3,3,2,4,4,6,4,6,4
570,"male",21,"partner_good","high",6,4,4,4,3,1,2,2,5,4,4,7,5
571,"male",20,"partner_good","medium",3,4,4,4,5,4,4,2,4,5,3,4,3
572,"male",18,"partner_good","medium",3,5,7,6,4,4,5,1,4,5,3,5,4
573,"male",18,"partner_good","medium",3,4,3,4,3,4,3,2,6,2,4,5,4
574,"male",20,"partner_good","medium",4,3,4,5,4,4,6,5,5,3,5,7,4
575,"male",19,"partner_good","medium",4,4,4,1,5,3,4,4,7,1,3,2,4
576,"male",20,"partner_good","medium",5,4,5,2,3,4,4,6,5,6,4,7,4
577,"male",22,"partner_good","medium",3,4,3,4,4,2,4,3,4,5,4,5,4
578,"male",20,"partner_good","medium",4,3,5,4,3,4,5,4,5,3,5,6,4
579,"male",18,"partner_good","medium",3,1,6,3,5,3,4,2,5,2,4,5,5
580,"male",18,"partner_good","medium",5,4,4,2,3,4,5,4,4,5,5,6,4
581,"male",20,"partner_good","medium",4,2,4,6,5,3,3,4,5,2,4,5,4
582,"male",19,"partner_good","medium",4,2,4,3,2,4,3,5,5,3,4,5,4
583,"male",19,"partner_good","medium",3,3,5,1,3,3,4,5,5,4,5,6,4
584,"male",21,"partner_good","medium",5,3,3,5,6,3,6,6,5,4,3,6,4
585,"male",19,"partner_good","medium",3,3,2,5,5,3,3,5,3,1,5,5,3
586,"male",21,"partner_good","medium",6,2,5,3,5,4,3,3,4,3,4,6,5
587,"male",21,"partner_good","medium",4,4,5,4,5,4,3,4,5,3,4,5,4
588,"male",19,"partner_good","medium",5,3,4,4,5,4,3,5,5,4,3,3,4
589,"male",19,"partner_good","medium",4,3,5,5,5,3,6,2,3,3,3,4,5
590,"male",21,"partner_good","medium",3,3,5,4,5,6,4,5,4,2,3,5,4
591,"male",21,"partner_good","medium",3,6,3,4,5,4,2,3,4,3,6,6,4
592,"male",20,"partner_good","medium",4,4,4,4,4,2,2,4,4,4,4,5,4
593,"male",21,"partner_good","medium",4,4,6,5,4,3,3,4,4,4,3,4,4
594,"male",21,"partner_good","medium",5,2,5,3,5,3,7,3,5,6,5,8,4
595,"male",22,"partner_good","medium",3,4,4,4,5,4,6,3,4,3,4,6,4
596,"male",20,"partner_good","medium",5,3,4,4,4,3,1,3,4,5,5,5,3
597,"male",20,"partner_good","medium",3,4,4,2,5,6,2,6,6,5,5,5,3
598,"male",19,"partner_good","medium",2,5,4,2,6,3,3,4,6,4,4,5,3
599,"male",18,"partner_good","medium",5,3,4,6,4,2,4,4,3,3,4,4,5
600,"male",21,"partner_good","medium",2,1,6,5,5,6,4,1,2,4,4,6,4
601,"male",22,"partner_good","low",4,5,5,6,5,5,4,3,5,1,2,1,4
602,"male",21,"partner_good","low",5,2,3,2,4,3,7,3,4,4,3,3,5
603,"male",20,"partner_good","low",6,6,4,3,3,3,1,3,5,4,3,3,3
604,"male",21,"partner_good","low",4,3,6,2,2,4,6,3,4,4,3,4,4
605,"male",19,"partner_good","low",3,4,6,4,5,5,6,3,4,5,4,5,4
606,"male",20,"partner_good","low",3,3,3,3,4,6,5,6,3,3,4,4,3
607,"male",20,"partner_good","low",4,5,4,5,3,4,4,3,4,4,5,4,2
608,"male",21,"partner_good","low",4,2,4,4,6,4,5,5,4,2,4,5,4
609,"male",20,"partner_good","low",2,3,3,5,5,4,5,3,3,4,4,4,5
610,"male",21,"partner_good","low",2,4,5,3,3,5,5,3,5,4,5,5,3
611,"male",18,"partner_good","low",5,5,5,6,4,4,1,3,4,5,3,3,3
612,"male",20,"partner_good","low",4,4,5,3,6,2,1,5,3,4,6,6,4
613,"male",21,"partner_good","low",3,6,2,5,4,3,3,4,4,4,4,3,3
614,"male",21,"partner_good","low",4,3,6,6,4,3,3,1,4,3,4,4,4
615,"male",21,"partner_good","low",2,3,5,4,5,6,4,2,5,1,4,4,4
616,"male",21,"partner_good","low",3,5,4,6,5,6,3,5,5,4,3,3,3
617,"male",18,"partner_good","low",5,6,4,6,3,3,2,3,5,3,5,4,3
618,"male",19,"partner_good","low",3,3,2,4,4,3,3,6,3,4,5,5,5
619,"male",20,"partner_good","low",5,5,4,4,5,4,2,7,5,3,4,3,3
620,"male",20,"partner_good","low",4,4,4,1,5,4,5,4,7,2,5,6,4
621,"male",21,"partner_good","low",3,3,5,3,4,3,6,5,4,3,2,3,5
622,"male",19,"partner_good","low",4,5,4,5,4,4,3,6,4,2,2,2,3
623,"male",21,"partner_good","low",4,4,4,5,5,3,5,2,3,4,4,3,3
624,"male",20,"partner_good","low",4,5,2,3,5,5,5,6,5,3,4,4,3
625,"male",21,"partner_good","low",3,6,4,5,5,5,2,4,3,3,4,4,3
626,"male",20,"partner_good","low",4,4,3,3,3,5,2,4,5,6,4,3,2
627,"male",20,"partner_good","low",4,5,5,5,4,3,2,2,4,7,4,4,4
628,"male",21,"partner_good","low",2,5,5,5,4,3,3,2,4,3,5,5,3
629,"male",19,"partner_good","low",4,3,3,4,2,4,3,3,6,2,4,4,3
630,"male",20,"partner_good","low",3,3,3,3,3,4,3,4,3,3,4,4,4
631,"male",19,"partner_bad","high",4,5,6,3,4,3,5,3,5,4,2,0,3
632,"male",20,"partner_bad","high",3,3,6,4,6,4,4,2,5,1,5,3,2
633,"male",18,"partner_bad","high",6,6,1,3,3,3,4,6,5,2,3,1,3
634,"male",22,"partner_bad","high",2,5,4,5,4,3,3,6,2,5,5,4,3
635,"male",20,"partner_bad","high",5,2,6,6,2,3,3,4,4,7,5,3,3
636,"male",20,"partner_bad","high",2,5,6,4,4,5,2,2,5,5,4,1,3
637,"male",22,"partner_bad","high",4,7,4,5,4,4,2,3,4,7,5,1,3
638,"male",19,"partner_bad","high",6,5,5,4,4,1,3,3,5,4,4,1,4
639,"male",19,"partner_bad","high",5,5,5,4,3,3,3,2,4,6,5,3,4
640,"male",22,"partner_bad","high",5,4,6,4,4,3,5,4,4,4,4,2,4
641,"male",18,"partner_bad","high",6,3,5,3,2,2,5,1,4,6,3,1,3
642,"male",18,"partner_bad","high",2,4,5,4,3,3,3,3,5,4,3,1,4
643,"male",21,"partner_bad","high",4,4,3,4,4,2,3,6,4,5,4,2,3
644,"male",18,"partner_bad","high",5,5,3,3,7,3,3,4,3,2,5,2,3
645,"male",20,"partner_bad","high",3,1,3,3,5,3,5,4,5,2,3,0,3
646,"male",20,"partner_bad","high",6,4,4,7,5,3,5,2,4,6,3,2,3
647,"male",19,"partner_bad","high",3,2,6,5,4,4,2,3,4,3,3,0,4
648,"male",20,"partner_bad","high",4,4,4,4,4,5,3,3,3,5,4,1,4
649,"male",19,"partner_bad","high",4,4,6,3,6,3,4,2,5,5,5,2,3
650,"male",20,"partner_bad","high",2,7,4,5,1,5,5,3,4,6,5,3,4
651,"male",19,"partner_bad","high",4,3,3,6,5,4,5,3,5,4,5,3,4
652,"male",18,"partner_bad","high",6,6,2,4,5,2,3,4,4,6,3,0,4
653,"male",19,"partner_bad","high",3,4,3,6,5,3,2,4,3,4,6,3,3
654,"male",18,"partner_bad","high",4,5,4,3,4,5,3,4,6,4,5,4,3
655,"male",19,"partner_bad","high",3,4,6,4,4,4,3,3,3,2,6,3,2
656,"male",19,"partner_bad","high",3,2,5,4,6,6,4,3,5,2,2,0,3
657,"male",21,"partner_bad","high",2,7,5,3,4,4,1,3,5,3,4,0,3
658,"male",21,"partner_bad","high",1,5,4,3,4,6,6,4,4,5,4,3,4
659,"male",20,"partner_bad","high",2,5,5,4,5,6,1,2,4,1,6,4,2
660,"male",19,"partner_bad","high",2,2,4,1,3,5,4,5,4,4,5,3,5
661,"male",22,"partner_bad","medium",1,3,4,4,4,5,3,4,2,4,5,2,1
662,"male",21,"partner_bad","medium",5,2,2,4,5,3,4,6,4,2,4,2,3
663,"male",20,"partner_bad","medium",3,5,5,4,6,5,1,2,5,4,4,2,3
664,"male",20,"partner_bad","medium",6,2,5,5,4,4,5,1,2,3,2,0,2
665,"male",18,"partner_bad","medium",5,5,5,4,2,3,1,3,4,4,4,0,2
666,"male",21,"partner_bad","medium",5,3,2,2,4,3,4,4,4,6,3,0,3
667,"male",20,"partner_bad","medium",5,3,3,3,3,5,4,5,4,6,5,2,3
668,"male",20,"partner_bad","medium",5,7,4,3,4,4,2,5,5,5,3,0,3
669,"male",19,"partner_bad","medium",3,3,4,4,3,3,6,3,4,5,5,3,3
670,"male",21,"partner_bad","medium",4,5,5,3,4,4,5,3,4,5,5,2,3
671,"male",20,"partner_bad","medium",3,5,5,3,4,3,3,2,4,5,4,2,4
672,"male",21,"partner_bad","medium",2,6,4,6,4,5,2,7,3,3,4,0,2
